Tên,Lớp,Giới tính,Diem1,Diem2,Diem3,Diem4,Diem5,Diem6,Diem7,Diem8,Diem9,Diem10
Lê Đức Hải,7B1,Nam,9.5,9.5,7.25,0.75,2.75,3.75,5,2.75,9.75,7.75
Đặng Văn Phong,8B1,Nam,7.25,6.75,7.5,10,1,7.25,6.25,4,0,2
Lê Đình Đạt,2B1,Nam,2.25,5,5.5,9,4.75,7.5,8,4.75,7,7.25
Vũ Hữu Hải,6A1,Nam,7.75,0,8,8,3.75,7.25,6.25,5,7,4.25
Trần Minh Phong,12C1,Nam,5.25,4.25,8.5,9.25,6,7,3.25,2,4.5,5
Võ Văn Bảo,4B1,Nam,2.25,2.25,3.25,0.25,3.75,5,4.5,7.75,7.75,5.75
Võ Bích Linh,5B2,Nữ,2.75,1.25,9,7,5.5,4,2.5,4.5,3.75,8
Vũ Đức Khoa,6B2,Nam,8.5,6.75,8.5,2,7.25,8.5,8.75,7.75,7.25,9
Bùi Hoàng Khoa,6B2,Nam,2.5,0.25,9.75,7.25,10,0,4.75,9.75,0.75,0.5
Bùi Hữu Đạt,11A2,Nam,1.5,1.25,2.25,7,9.75,4,10,4.25,9,7
Nguyễn Thái Dũng,7C1,Nam,3.25,1.75,9.25,2,8.5,5,1.75,0.75,4.5,2.75
Trần Thanh Trâm,9B1,Nữ,0.25,6.25,3.75,9.5,5,2.5,2.75,0.25,10,9.75
Võ Minh Huy,4A2,Nam,6.25,3.5,7.25,6.75,3,0.5,9,1.25,7,1.5
Trần Bích Hà,8A2,Nữ,4.25,10,3.5,0,9.5,6.5,5.25,2.25,4.5,9.75
Vũ Mai Trang,2A1,Nữ,7.25,5,1.75,5.5,6,2.5,6.75,2.25,0.25,9.5
Huỳnh Đình Hải,4C1,Nam,2.5,9.75,3.75,4.75,6.75,8,4,5.25,9.25,6.25
Phan Thị Nhung,12C1,Nữ,4.25,4.5,3,1.25,5.25,4.75,6.75,5.25,7.25,8.25
Hoàng Phương Hà,8A1,Nữ,4.75,5.75,1.75,6.25,0.75,0.5,4.25,0.25,9.75,7.25
Nguyễn Ngọc Vy,8A1,Nữ,0.5,8.75,7.5,7.75,7.25,7.5,7.75,5.75,8.5,8.25
Hoàng Văn Bảo,10C1,Nam,4,7.5,3.25,0.75,0.25,3.25,8.5,6.75,4.5,7.5
Đỗ Tuấn Huy,9A1,Nam,7.5,10,6,7.25,6.5,2.5,4,2.5,8,0.25
Lê Thu Trâm,9A3,Nữ,9.25,6.5,2.25,7,6.5,9.75,3,2.25,2,5
Vũ Hữu Phong,11B2,Nam,5.25,8.5,0.25,0.5,7.5,2.25,4.25,6.25,4.5,1.25
Đỗ Ngọc Hà,8B1,Nữ,9,6.25,9,6.75,7,2.5,5.25,2.5,2.25,9.25
Trần Gia Huy,8C1,Nam,8.5,0.25,8.25,5,7.25,2,6.75,9.5,9.5,8.5
Võ Gia Huy,2A1,Nam,2,7,3.75,5.25,3.25,9.75,4.75,6.75,8.25,9.75
Vũ Hoàng Dũng,1B1,Nam,3.5,9.75,7.5,4.5,9,8,4.25,0.25,4.5,6.25
Lê Tuấn Đạt,8C1,Nam,4,2.25,1.5,9,6.75,3.75,10,6,6.5,6.5
Phạm Ngọc Lan,3A2,Nữ,8.75,5.75,2.5,9.75,3.5,5.75,9.25,2.75,5.25,1.75
Đặng Bích Vy,7C1,Nữ,0.5,9,6.5,7.25,7.75,8.5,0,5,0.75,1.5
Võ Mai Nhung,12C1,Nữ,2.25,2.75,7.25,4.75,7,2.75,8.5,9.75,0.75,2
Nguyễn Như Lan,7A3,Nữ,6.5,4.75,9,5,0.75,2.5,3.25,9.75,8.25,6.25
Hoàng Văn Minh,2A3,Nam,5.75,8.75,6.75,8.5,6,7,6,3.5,9.75,1.5
Huỳnh Hữu Phong,7C1,Nam,4,7.25,8.75,7,9.25,6,1.75,2.75,1.25,4.25
Huỳnh Đình Hải,2B2,Nam,0.25,1,4.25,5.75,9.25,7,2.75,3.75,3.25,2.75
Phạm Mai Hà,8A1,Nữ,9.5,1.5,6.25,5.5,8.75,1,4.5,0.5,9,3.75
Nguyễn Ngọc Trâm,10C1,Nữ,2.25,9.25,2.75,3,8.25,1,1,8.5,9.25,6.5
Phan Văn Bảo,3C1,Nam,7.75,4,9.5,5.5,1.25,3.25,0,0,4.75,0
Phan Mai Thảo,5B2,Nữ,7.75,4.25,0.5,0.5,6.5,4.25,0.5,4.5,2.75,3
Đỗ Ngọc Linh,9A1,Nữ,6.75,1.5,9.5,5.5,5,7,1.75,4.25,6.75,1.25
Vũ Thái Đạt,1A3,Nam,4.5,3.75,8.5,7.25,6.25,10,1.5,4.5,5,9.25
Bùi Đình Thắng,8B2,Nam,7.25,5.25,10,1.25,0.25,5.75,6,9.25,4.25,8
Võ Ngọc Trâm,11B1,Nữ,8,0.75,4.75,2.5,2.5,9.5,2.25,3.75,1.5,4.75
Trần Bích Nhi,5A2,Nữ,0,5.25,4.25,1.25,0.75,6.25,2.75,5.25,4,3.25
Đỗ Gia Huy,2B2,Nam,0.25,9.5,1,6.25,9.75,2,3.75,2.5,1,4
Võ Đức Hải,9A3,Nam,10,2.5,1,5.25,5,7,4,3,4.5,9
Huỳnh Thanh Hương,11A1,Nữ,9,4.75,6,8,1,3.75,6,7.25,3.5,5.5
Huỳnh Hữu Huy,1C1,Nam,9.75,9.5,7.5,4.25,5,2.25,5.5,10,7.5,2.5
Đỗ Đình Bảo,10C1,Nam,0.5,6.5,8.25,2.25,4.25,8.25,6.75,9.75,8.25,2.5
Đặng Hoàng Hải,8A1,Nam,4,4.25,7.5,5.5,1,8.25,4.5,8,2.5,9
Phan Hữu Hải,12A2,Nam,2.5,4,8.75,7.75,4.75,7.25,2.25,3.5,5.25,3.25
Huỳnh Minh Hải,9B1,Nam,7.25,5.25,0,1.5,8.5,4.5,0.25,5.25,10,2.5
Huỳnh Hoàng Thắng,10B2,Nam,3.75,4.75,0.25,7,6.75,9.75,0.25,6.25,8.75,9.5
Hoàng Tuấn Sơn,3B1,Nam,6,7,8.25,10,2,0,6.25,4,6.75,4.25
Phạm Đình Long,7A3,Nam,5,3,9.25,4.5,4.25,9.25,7.5,8.75,9.5,3.75
Vũ Văn Khoa,10A2,Nam,5.5,1.5,3.25,5.25,4.5,9.75,5.25,1.25,3.5,6.25
Đặng Tuấn Khoa,12B2,Nam,8.5,6.75,8.25,9.25,3.75,3.25,1.25,0.25,7.75,1.5
Đặng Thái Sơn,3A2,Nam,8,2.25,4.5,6,8.5,8.75,3.75,3,1.25,8.75
Hoàng Bích Hương,5B2,Nữ,3,7.5,2.75,6,5,6,8.75,2.5,5.75,0.25
Đỗ Như Nhi,9A2,Nữ,9.75,0.5,6.75,5.75,8.75,6.5,9,0.5,0.25,8.5
Lê Ngọc Nhung,6B1,Nữ,5.5,1,5,7.25,5.25,3.25,7.25,1.75,9,8.25
Huỳnh Minh Bảo,3C1,Nam,4.5,2,8.25,2,7.25,7.75,9,0.75,2,4.5
Đỗ Tuấn Đạt,9A2,Nam,9.75,0.25,6.5,7,4.5,4,1.5,6.25,8.5,1.5
Bùi Hoàng Minh,9B1,Nam,8,0,7,1.25,4.75,4.25,0.5,3.75,4,2
Đặng Diễm Nhung,8A2,Nữ,1.25,2,7.75,2.5,7.75,8,3.5,9.5,2.5,5.25
Đỗ Ngọc Vy,1A3,Nữ,5.75,0.5,9,8.25,8.75,3.25,2.5,2,2.75,9
Nguyễn Hữu Bảo,3C1,Nam,6.75,0.75,4,3.25,7.25,0.5,8.25,4.5,2.25,8.25
Lê Minh Dũng,7B1,Nam,2,7,3,3,7,6.5,2,4.5,4,5.75
Bùi Diễm Hà,2A2,Nữ,1.25,7.75,1.25,3.25,3,10,3.5,6.5,2,6
Huỳnh Diễm Linh,6B1,Nữ,4.75,7.75,2.75,7,6.25,4.5,3,8,4,3.75
Huỳnh Ngọc Lan,7B1,Nữ,8.75,6.25,9.5,7.5,3.75,2.5,9.25,6,8.25,1.5
Đỗ Đình Phong,9B2,Nam,1.25,2,2.25,1,8.25,1.5,0.25,2.5,0.5,3
Vũ Như Nhung,3B2,Nữ,8.25,4,6.75,0.25,2.75,9.25,9.5,2.75,0.75,9.5
Võ Thị Thảo,9C1,Nữ,7.25,7,2.5,9.25,4.25,2,7,8,6.25,1.75
Huỳnh Tuấn Khoa,2A2,Nam,1,8.25,2,7.75,0.25,8.25,3,1,8.5,9
Đặng Thái Bảo,4A3,Nam,1.75,6,3,3.5,9,8.25,7.25,0.5,7,5.25
Lê Đức Sơn,2B1,Nam,6.75,9.5,3.75,0.25,2.75,9,7.75,2.25,2.5,7.25
Nguyễn Như Trâm,6B1,Nữ,7.5,5.5,8,3.75,7.25,8.25,3.5,9.75,6.5,1.75
Võ Mai Yến,5A2,Nữ,6.25,8.25,1.75,1.5,9.5,3.5,3.75,3.75,3,1
Phan Hoàng Huy,2B1,Nam,8.75,6.5,1.25,9.75,7.75,1.25,9.5,7.75,8.25,7.25
Hoàng Bích Vy,6B1,Nữ,6.75,9,6.75,0,9,7.25,2.75,2.25,6.75,0
Nguyễn Đình Thắng,6A2,Nam,4.5,5.25,0.75,2.25,3.75,6.25,6.25,6.25,6.75,0.25
Huỳnh Tuấn Hải,5A2,Nam,4,1,5.25,7,4,7.5,3,3.75,3.75,0.25
Trần Thu Nhung,9A1,Nữ,8,3.75,1.75,1,5.75,0.25,6.25,6,4.75,2.5
Lê Như Trang,7B1,Nữ,0.5,0.75,9,9.75,8.25,1.25,2.25,5.25,8.25,7.5
Hoàng Hoàng Đạt,9B1,Nam,0.75,0.25,5,9.25,9,9.75,1.25,1.5,8.25,7
Đặng Gia Minh,9B1,Nam,6.25,10,2.5,3.75,0,2.75,5.5,5.75,9.5,8.25
Nguyễn Thanh Nhung,1B2,Nữ,1.75,8.5,1.75,4.75,3.75,7.25,7.25,4.75,5.5,9.25
Trần Thị Yến,11C1,Nữ,4.5,6.5,8.75,5,2,9,5.5,8.5,1.75,5.75
Vũ Gia Hải,5C1,Nam,8,7.25,7,5.75,0.75,8,6.75,1.5,10,0
Phạm Ngọc Lan,9A3,Nữ,9,2.75,2,7,9.25,4.5,5.75,1,4.25,9.25
Đỗ Thu Trang,8B1,Nữ,9.25,9.5,7.5,5,5,10,7.5,10,3.25,8
Đặng Thu Hương,4A3,Nữ,3.5,4,0,1.25,0.75,7.5,8.75,10,9.5,6.25
Vũ Phương Linh,12A3,Nữ,10,6.25,1.25,2.75,0,8.75,3.5,5.75,7.5,3.5
Bùi Thái Phong,5A2,Nam,8.75,1,5.25,8.25,3.5,5.75,2,9,7.75,6.75
Nguyễn Gia Đạt,4A1,Nam,3.25,0.5,3.75,5.5,1.5,6.5,9.75,5.5,0.5,5
Hoàng Ngọc Lan,6A3,Nữ,10,2,7.25,1.5,8,2.75,7.25,0,9.5,7.5
Đỗ Minh Phong,3C1,Nam,1,9.5,7.75,6.5,9.5,6.25,1.5,5.5,0.25,0.5
Bùi Văn Bảo,11A3,Nam,1.25,6,4.75,9.75,5,1.25,2.5,9,7.75,4.75
Vũ Thái Đạt,1A3,Nam,7.75,1.25,3,3.25,10,8.5,7.25,6.75,1,10
Lê Thị Hương,6A1,Nữ,6.5,8,8.75,6,3,9.25,7.75,7.5,6.25,3.5
Huỳnh Đình Bảo,9A2,Nam,0.25,2,7.75,7.25,1,1.25,5.25,3.25,2,7.5
Hoàng Phương Nhung,12A2,Nữ,1.5,5,4,7,9,2.5,9,4,7,8
Huỳnh Bích Lan,10C1,Nữ,4.75,7.75,0,10,9,8,8.25,4,3.25,1.5
Phạm Thu Vy,1A3,Nữ,2.75,0.5,6.25,9.25,0.25,10,5.75,3.75,7.25,6.75
Trần Hoàng Dũng,7A3,Nam,8.5,1,8.5,5,5,1,4.5,2.75,5,0.25
Hoàng Bích Linh,11A3,Nữ,8.75,3.25,8.25,6.5,0.75,7,2,2.25,3.5,7.5
Phan Bích Nhung,10B1,Nữ,4.5,9.25,9.75,8.75,4.25,5.25,7.5,3.75,7.25,7.5
Phan Diễm Nhung,1B1,Nữ,9.5,2,9,7.25,5.5,9.75,6.5,2.75,7.75,0
Hoàng Đức Long,9C1,Nam,6,7.75,1.75,3.25,0.25,3.25,8,1.5,3.5,9.75
Lê Như Linh,10B2,Nữ,8,3.25,1,7.25,0,7,5.75,2.5,7.5,7.5
Trần Diễm Lan,5B1,Nữ,2.25,5.25,9.5,4,9,3,0,0.25,3.25,5.75
Đỗ Đức Huy,5A1,Nam,7.25,8,0.25,7.5,5.75,6.25,0.25,6.5,3.25,1.25
Trần Thu Trang,3B2,Nữ,5,5.25,4,0.75,0,8,1.5,0.5,0,2.5
Vũ Như Yến,5A3,Nữ,8.75,6.5,9.25,3.75,8.25,9.75,3.5,4,6.5,3.75
Trần Bích Hương,8C1,Nữ,1,9.75,5.25,6,1.75,4,7.25,5,5.5,6
Vũ Gia Phong,9A3,Nam,9.25,10,4.5,6.75,5.25,3.75,7.5,1.25,0.5,1
Lê Thái Huy,2B1,Nam,9.75,1.75,3.5,0,6,8.5,6.75,1.5,3.25,3
Vũ Như Hương,12A2,Nữ,0.25,5.5,7.5,6,3.25,4,5.75,1,8,8
Lê Mai Hương,2B2,Nữ,9.5,0.5,2.75,1.5,1,4.25,4,8,5,4.75
Đặng Thái Sơn,8A2,Nam,2.25,5.5,1.25,2.25,2.25,4.75,8,8.75,3,9.5
Lê Hữu Phong,12B1,Nam,9,4,4.75,3.25,2.25,5,6.5,2.5,6.5,1.75
Nguyễn Ngọc Hương,9B2,Nữ,0.25,8.75,0.5,0.75,5.75,4.5,6.25,7.75,7.25,8.75
Phạm Bích Yến,12A2,Nữ,0.5,7.5,1.5,2,8.75,8.25,6.75,9.75,3.25,10
Nguyễn Hữu Phong,9B2,Nam,0.25,1.75,9.75,4.5,4.75,4,2.25,7.25,0.5,3.5
Hoàng Minh Minh,5A1,Nam,8,1,8,0.75,6.75,5.5,0.5,8,8.5,2
Võ Thị Nhi,9A3,Nữ,0.75,8.5,3.5,2.25,5,8,0.25,4.5,5.5,0
Huỳnh Tuấn Phong,2C1,Nam,9.5,1.25,8.25,0.25,5.25,0.25,5.25,8.25,10,2
Đỗ Thanh Hương,11A1,Nữ,8.5,7.75,4.25,6,6,1.25,9.25,6.25,2.5,0
Đỗ Thanh Thảo,5C1,Nữ,3.75,1,0.75,6,2.25,6.5,8.75,4.25,2.75,1.25
Hoàng Phương Vy,12A3,Nữ,6.25,0,1.25,1.25,1.5,0,1.25,9.25,1.5,9.5
Nguyễn Thị Nhung,6A2,Nữ,3.5,0.5,3.5,4,1.25,8.25,6.25,1.75,7.75,2.75
Lê Văn Đạt,5C1,Nam,8.75,8.5,2.5,6.5,4.25,9,6.75,7.5,0.5,1.25
Trần Ngọc Hà,2A3,Nữ,7.5,7,7.75,8.25,4.75,6.5,7.25,6.25,6.25,5.75
Phạm Phương Trâm,9B2,Nữ,1.5,5.5,7.25,2.5,0.25,0.75,5.25,1,1.5,9
Hoàng Mai Nhung,4A1,Nữ,7.25,5,8.25,7.25,1.25,0.5,9.75,1,6.25,5.75
Đỗ Văn Hải,7A3,Nam,9,2,4.25,4,5.75,6.75,5.75,7.75,5.5,2.25
Trần Thái Phong,1A3,Nam,8.25,0.5,0.5,0.75,3.25,1,3.5,9,9.5,7.75
Trần Thanh Trang,1B1,Nữ,4.75,5.25,6,9.75,8,3.25,4.75,1.75,2.75,2.75
Nguyễn Đình Long,4A3,Nam,6.25,7.75,2.5,9.75,2.5,7,5.75,2,2.25,5.75
Trần Tuấn Sơn,10A3,Nam,10,2,1.75,1.75,3.5,6,0.5,7.25,6.5,8
Huỳnh Tuấn Thắng,9A2,Nam,0.5,1,8.75,9.25,1.5,9.75,6.75,2,9.5,1.25
Đặng Phương Hà,1A2,Nữ,5,4.25,9.75,7.5,4,3,7.25,8,5,0
Phạm Hoàng Dũng,3A2,Nam,1.75,3.5,1.75,7.25,0.25,3.5,2,1,8.25,9.75
Bùi Phương Yến,1A1,Nữ,6.25,0.5,5.25,0.25,3.25,9.75,9.75,8.25,8,10
Hoàng Hoàng Đạt,9A1,Nam,9.5,2.25,2.5,4.75,8.5,1.5,6,7.75,2.25,2.25
Lê Hoàng Minh,1A2,Nam,1.5,7.5,4,7.25,5,0.25,6.75,0.75,1,3.75
Nguyễn Diễm Yến,4A3,Nữ,0.75,4,1,5.25,0,2,8.5,7.75,3.25,4.75
Đỗ Tuấn Dũng,4C1,Nam,8.75,6,0.75,4.75,9.5,7.25,4.25,3.25,3.5,0
Lê Thị Hà,9A3,Nữ,1,3.75,10,7.75,5.5,6.5,7,6,7.5,2.5
Nguyễn Hữu Phong,6A2,Nam,1,3.25,4.25,4.25,9.5,3,1.75,9,6.75,0.75
Lê Đình Huy,4B1,Nam,1.25,3.75,6.5,1.25,1,3,3,0.5,6,5
Đặng Thu Nhung,3A1,Nữ,1.25,1.75,7.5,2,5.5,3.25,3,0.5,7,8
Hoàng Phương Hương,12A2,Nữ,2,4.75,4.5,2,4.5,3,3.75,8.75,2.75,1.75
Phan Đình Dũng,5C1,Nam,6.75,7.25,2.25,10,4,2,8,6.75,8,6.5
Phạm Hoàng Sơn,6A1,Nam,0.5,0.75,4.5,7,9,6,8.75,1.75,6,5
Phạm Phương Trang,1A2,Nữ,9.5,0.75,2.75,3.25,7,9.75,7.75,8.75,1.75,0.25
Trần Ngọc Hà,10A1,Nữ,1.75,0.75,2.25,4.5,8,8.75,2.5,9.75,1.5,0.25
Hoàng Minh Hải,11C1,Nam,5,6,5.75,8.5,8.5,7,4.75,3,10,0
Bùi Hoàng Đạt,7B2,Nam,5.5,4.75,6,1.5,0,1.5,7.5,0,9.75,8
Phạm Thu Thảo,10A1,Nữ,4,5.25,5.5,6.5,6,8.5,3,3.25,8.5,4.25
Nguyễn Minh Sơn,3A3,Nam,8.25,0,2.25,8.25,8.75,5.75,6.5,10,2,9.75
Đặng Hữu Đạt,2C1,Nam,2,4.25,5.5,8.5,8.5,0.25,2.75,7.75,0.5,9.5
Nguyễn Thái Minh,1C1,Nam,1.25,5.75,2,1,3.5,7.25,6.75,3,6.5,0.25
Bùi Hữu Đạt,9B1,Nam,6.25,0.75,5,0.25,4.75,9.5,8.5,4.25,7.5,0.5
Phan Ngọc Trâm,12A1,Nữ,4.75,2.75,4,5.5,1.75,8.5,7.75,9.25,2.25,2.25
Lê Hoàng Minh,3C1,Nam,9,8.25,6.25,10,6,9.75,3,8.75,9,6.5
Huỳnh Mai Lan,1A1,Nữ,2.5,10,10,4.5,3,1,1.5,5.25,5,3.25
Nguyễn Tuấn Long,3B1,Nam,1,8.25,4.75,4.25,4,5.25,3.5,9.25,3,5.75
Đỗ Đức Long,11C1,Nam,1,4.75,8,1,8,1.5,0.5,1.75,9,1.25
Trần Diễm Linh,8A3,Nữ,3.75,4.25,1.25,0.75,7,2,10,10,4.75,1.75
Nguyễn Mai Nhi,4A2,Nữ,7.25,7.5,1.75,9,2.5,9,7.25,7,3.75,3.25
Phan Thị Nhung,10B1,Nữ,8.25,5.75,7.75,4.75,2,7.5,1.25,1.75,8.25,10
Võ Đức Khoa,11A3,Nam,7.75,6.25,2.25,3,1.75,3.75,10,7.25,0.25,3.75
Võ Đình Đạt,3A2,Nam,5.75,8.75,4,4.5,1,9.75,1.5,6.5,5.25,4.25
Đỗ Hữu Dũng,5B1,Nam,2,2,9,6.25,1.5,9,3.25,4.5,7.25,7.25
Nguyễn Thu Linh,10B1,Nữ,2.75,7.25,9.75,2,3.75,6.25,7.75,9.5,6.5,3.25
Vũ Mai Trâm,8A1,Nữ,4.75,4,4.75,1,3.5,0.75,4.75,0.5,4.5,4.25
Hoàng Ngọc Lan,7C1,Nữ,1.75,7,3,9.5,3.75,4,5.5,4.5,3.75,10
Trần Đức Long,5B1,Nam,7.75,3.25,8,9,1.75,5.25,2.25,3.75,2.75,3.25
Bùi Bích Linh,8C1,Nữ,4.5,0.75,2.75,0,2.75,5,2.25,6.25,4.75,8.5
Phạm Hoàng Phong,3B1,Nam,4,7.5,0.25,3.75,2.75,6.25,9.75,4,2.5,4.5
Đỗ Đức Long,8A2,Nam,5,1.75,8.75,4.75,8.25,7.5,6.5,9.25,4.5,8
Bùi Văn Phong,6B1,Nam,4.75,1,8.25,5,7.75,7.25,8.75,1,3.75,1.5
Lê Bích Nhung,9B1,Nữ,4.5,8.75,9.5,2.25,3.75,4.5,4.5,8.25,4.5,7.75
Huỳnh Diễm Hà,8A2,Nữ,3.75,2,10,5.75,2,5.75,6.5,4,7.25,8
Hoàng Phương Lan,6B1,Nữ,1,0.25,4.75,8.25,3.5,5,6.5,5,4.25,5.5
Nguyễn Văn Huy,10C1,Nam,10,6.5,5.75,5.25,7,4.5,1,9.75,10,8.75
Phan Bích Nhi,3C1,Nữ,3.5,2,6.75,10,8.25,9.25,0.25,0.5,9.25,2.5
Hoàng Đình Minh,9A1,Nam,7.75,9.75,2,2.75,2,3.5,0,9.75,6.25,3.75
Đặng Minh Dũng,11A3,Nam,0.75,5.5,5,0.25,2,2.5,6.25,7.75,5.75,5
Đỗ Thái Dũng,1A1,Nam,9.5,7,6.25,9,2,6.75,4.75,7.25,6.25,7.5
Đỗ Đình Minh,6B2,Nam,0,0.75,2,2.25,0,1.5,4,2.25,5.75,6.75
Lê Thái Bảo,4B1,Nam,1.75,1.25,6.5,7.25,2.5,2.5,5.5,9.5,8.5,8
Lê Hoàng Long,7A3,Nam,4.5,0.25,9.25,0,7.25,7.25,8.5,5.25,10,6.75
Phạm Hoàng Huy,10B1,Nam,6.5,9.25,6,0.25,5.75,5,7,4.75,5.75,9.25
Võ Ngọc Yến,12C1,Nữ,9.25,9,4,3.5,1.5,4,3,0.5,4.25,3.25
Nguyễn Đức Phong,2B1,Nam,1.75,0.25,3.25,9.25,9.75,5,7.5,9,0.25,9.75
Phạm Minh Long,10C1,Nam,7,1.75,2.25,7.5,10,3.25,5.25,6.5,4.75,6.5
Đặng Đức Long,5A3,Nam,5.75,1.75,6.5,3,6.5,2.25,10,7.75,9,2.75
Phan Thanh Nhi,4A1,Nữ,9.75,2.75,6.25,8.5,8.75,3.25,8.25,5.5,5,7.75
Võ Như Vy,12B2,Nữ,6.75,7.5,0.5,7.75,7.25,2.75,2.75,1.75,9.75,0
Võ Gia Phong,11A1,Nam,0.5,4.75,5.75,8.5,9.25,4.5,1.5,9,2.5,5.25
Huỳnh Mai Trâm,11B1,Nữ,3.75,5.5,10,3.5,3.5,9,8,6,4,9.5
Đỗ Diễm Yến,1A1,Nữ,5.5,8.25,8.5,2.5,3,3.5,7,8,5.25,0.25
Nguyễn Thu Hà,7B2,Nữ,8,9.25,4.5,5.5,3.75,6,9.25,10,4,8.75
Phạm Như Thảo,10B1,Nữ,5.5,8.5,9,1.25,6.75,6.5,6.5,2.25,9.25,0.5
Trần Ngọc Trang,3A3,Nữ,0.5,7.25,9.25,1.75,6,0.75,8.75,6.25,6.25,9.75
Bùi Hoàng Dũng,4A1,Nam,7.25,4.75,6.25,5.75,3.75,1.25,7.75,3.5,1.75,4.25
Trần Đình Phong,6B1,Nam,3.25,9.5,9,9,3.75,6.25,3,8,7,10
Bùi Gia Sơn,7A3,Nam,6.25,0,9.5,9.5,9.25,2.25,2.75,5.25,4.5,0.25
